Timestamp,Activity_Count,mod7,Hour,Minute,DayOfWeek,Weekend
2025-04-04 14:00:00,0,2,14,0,4,False
2025-04-04 14:10:00,0,3,14,10,4,False
2025-04-04 14:20:00,0,4,14,20,4,False
2025-04-04 14:30:00,0,5,14,30,4,False
2025-04-04 14:40:00,0,6,14,40,4,False
2025-04-04 15:10:00,0,2,15,10,4,False
2025-04-04 15:20:00,0,3,15,20,4,False
2025-04-04 15:30:00,0,4,15,30,4,False
2025-04-04 15:40:00,54,5,15,40,4,False
2025-04-04 15:50:00,14,6,15,50,4,False
2025-04-04 16:20:00,6,2,16,20,4,False
2025-04-04 16:30:00,54,3,16,30,4,False
2025-04-04 16:40:00,1,4,16,40,4,False
2025-04-04 16:50:00,0,5,16,50,4,False
2025-04-04 17:00:00,2,6,17,0,4,False
2025-04-04 17:30:00,0,2,17,30,4,False
2025-04-04 17:40:00,1,3,17,40,4,False
2025-04-04 17:50:00,8,4,17,50,4,False
2025-04-04 18:00:00,12,5,18,0,4,False
2025-04-04 18:10:00,5,6,18,10,4,False
2025-04-04 18:40:00,0,2,18,40,4,False
2025-04-04 18:50:00,4,3,18,50,4,False
2025-04-04 19:00:00,6,4,19,0,4,False
2025-04-04 19:10:00,5,5,19,10,4,False
2025-04-04 19:20:00,0,6,19,20,4,False
2025-04-04 19:50:00,0,2,19,50,4,False
2025-04-04 20:00:00,0,3,20,0,4,False
2025-04-04 20:10:00,0,4,20,10,4,False
2025-04-04 20:20:00,5,5,20,20,4,False
2025-04-04 20:30:00,0,6,20,30,4,False
2025-04-04 21:00:00,0,2,21,0,4,False
2025-04-04 21:10:00,0,3,21,10,4,False
2025-04-04 21:20:00,0,4,21,20,4,False
2025-04-04 21:30:00,0,5,21,30,4,False
2025-04-04 21:40:00,1,6,21,40,4,False
2025-04-04 22:10:00,0,2,22,10,4,False
2025-04-04 22:20:00,0,3,22,20,4,False
2025-04-04 22:30:00,0,4,22,30,4,False
2025-04-04 22:40:00,0,5,22,40,4,False
2025-04-04 22:50:00,0,6,22,50,4,False
2025-04-04 23:20:00,0,2,23,20,4,False
2025-04-04 23:30:00,0,3,23,30,4,False
2025-04-04 23:40:00,0,4,23,40,4,False
2025-04-04 23:50:00,0,5,23,50,4,False
2025-04-05 00:00:00,0,6,0,0,5,True
2025-04-05 00:30:00,0,2,0,30,5,True
2025-04-05 00:40:00,0,3,0,40,5,True
2025-04-05 00:50:00,0,4,0,50,5,True
2025-04-05 01:00:00,1,5,1,0,5,True
2025-04-05 01:10:00,0,6,1,10,5,True
2025-04-05 01:40:00,0,2,1,40,5,True
2025-04-05 01:50:00,0,3,1,50,5,True
2025-04-05 02:00:00,0,4,2,0,5,True
2025-04-05 02:10:00,0,5,2,10,5,True
2025-04-05 02:20:00,0,6,2,20,5,True
2025-04-05 02:50:00,1,2,2,50,5,True
2025-04-05 03:00:00,0,3,3,0,5,True
2025-04-05 03:10:00,1,4,3,10,5,True
2025-04-05 03:20:00,0,5,3,20,5,True
2025-04-05 03:30:00,0,6,3,30,5,True
2025-04-05 04:00:00,0,2,4,0,5,True
2025-04-05 04:10:00,0,3,4,10,5,True
2025-04-05 04:20:00,0,4,4,20,5,True
2025-04-05 04:30:00,0,5,4,30,5,True
2025-04-05 04:40:00,0,6,4,40,5,True
2025-04-05 05:10:00,0,2,5,10,5,True
2025-04-05 05:20:00,0,3,5,20,5,True
2025-04-05 05:30:00,0,4,5,30,5,True
2025-04-05 05:40:00,0,5,5,40,5,True
2025-04-05 05:50:00,0,6,5,50,5,True
2025-04-05 06:20:00,0,2,6,20,5,True
2025-04-05 06:30:00,0,3,6,30,5,True
2025-04-05 06:40:00,0,4,6,40,5,True
2025-04-05 06:50:00,0,5,6,50,5,True
2025-04-05 07:00:00,0,6,7,0,5,True
2025-04-05 07:30:00,5,2,7,30,5,True
2025-04-05 07:40:00,0,3,7,40,5,True
2025-04-05 07:50:00,1,4,7,50,5,True
2025-04-05 08:00:00,40,5,8,0,5,True
2025-04-05 08:10:00,0,6,8,10,5,True
2025-04-05 08:40:00,1,2,8,40,5,True
2025-04-05 08:50:00,2,3,8,50,5,True
2025-04-05 09:00:00,0,4,9,0,5,True
2025-04-05 09:10:00,0,5,9,10,5,True
2025-04-05 09:20:00,0,6,9,20,5,True
2025-04-05 09:50:00,2,2,9,50,5,True
2025-04-05 10:00:00,2,3,10,0,5,True
2025-04-05 10:10:00,0,4,10,10,5,True
2025-04-05 10:20:00,3,5,10,20,5,True
2025-04-05 10:30:00,1,6,10,30,5,True
2025-04-05 11:00:00,2,2,11,0,5,True
2025-04-05 11:10:00,12,3,11,10,5,True
2025-04-05 11:20:00,4,4,11,20,5,True
2025-04-05 11:30:00,3,5,11,30,5,True
2025-04-05 11:40:00,6,6,11,40,5,True
2025-04-05 12:10:00,1,2,12,10,5,True
2025-04-05 12:20:00,1,3,12,20,5,True
2025-04-05 12:30:00,1,4,12,30,5,True
2025-04-05 12:40:00,2,5,12,40,5,True
2025-04-05 12:50:00,1,6,12,50,5,True
2025-04-05 13:20:00,4,2,13,20,5,True
2025-04-05 13:30:00,0,3,13,30,5,True
2025-04-05 13:40:00,10,4,13,40,5,True
2025-04-05 13:50:00,13,5,13,50,5,True
2025-04-05 14:00:00,4,6,14,0,5,True
2025-04-05 14:30:00,1,2,14,30,5,True
2025-04-05 14:40:00,0,3,14,40,5,True
2025-04-05 14:50:00,1,4,14,50,5,True
2025-04-05 15:00:00,2,5,15,0,5,True
2025-04-05 15:10:00,0,6,15,10,5,True
2025-04-05 15:40:00,7,2,15,40,5,True
2025-04-05 15:50:00,3,3,15,50,5,True
2025-04-05 16:00:00,14,4,16,0,5,True
2025-04-05 16:10:00,0,5,16,10,5,True
2025-04-05 16:20:00,2,6,16,20,5,True
2025-04-05 16:50:00,0,2,16,50,5,True
2025-04-05 17:00:00,1,3,17,0,5,True
2025-04-05 17:10:00,6,4,17,10,5,True
2025-04-05 17:20:00,4,5,17,20,5,True
2025-04-05 17:30:00,9,6,17,30,5,True
2025-04-05 18:00:00,2,2,18,0,5,True
2025-04-05 18:10:00,4,3,18,10,5,True
2025-04-05 18:20:00,8,4,18,20,5,True
2025-04-05 18:30:00,132,5,18,30,5,True
2025-04-05 18:40:00,201,6,18,40,5,True
2025-04-05 19:10:00,0,2,19,10,5,True
2025-04-05 19:20:00,0,3,19,20,5,True
2025-04-05 19:30:00,0,4,19,30,5,True
2025-04-05 19:40:00,0,5,19,40,5,True
2025-04-05 19:50:00,0,6,19,50,5,True
2025-04-05 20:20:00,0,2,20,20,5,True
2025-04-05 20:30:00,0,3,20,30,5,True
2025-04-05 20:40:00,0,4,20,40,5,True
2025-04-05 20:50:00,0,5,20,50,5,True
2025-04-05 21:00:00,0,6,21,0,5,True
2025-04-05 21:30:00,0,2,21,30,5,True
2025-04-05 21:40:00,0,3,21,40,5,True
2025-04-05 21:50:00,0,4,21,50,5,True
2025-04-05 22:00:00,0,5,22,0,5,True
2025-04-05 22:10:00,0,6,22,10,5,True
2025-04-05 22:40:00,0,2,22,40,5,True
2025-04-05 22:50:00,0,3,22,50,5,True
2025-04-05 23:00:00,0,4,23,0,5,True
2025-04-05 23:10:00,0,5,23,10,5,True
2025-04-05 23:20:00,0,6,23,20,5,True
2025-04-05 23:50:00,1,2,23,50,5,True
2025-04-06 00:00:00,96,3,0,0,6,True
2025-04-06 00:10:00,0,4,0,10,6,True
2025-04-06 00:20:00,0,5,0,20,6,True
2025-04-06 00:30:00,0,6,0,30,6,True
2025-04-06 01:00:00,0,2,1,0,6,True
2025-04-06 01:10:00,0,3,1,10,6,True
2025-04-06 01:20:00,0,4,1,20,6,True
2025-04-06 01:30:00,0,5,1,30,6,True
2025-04-06 01:40:00,0,6,1,40,6,True
2025-04-06 02:10:00,0,2,2,10,6,True
2025-04-06 02:20:00,0,3,2,20,6,True
2025-04-06 02:30:00,0,4,2,30,6,True
2025-04-06 02:40:00,0,5,2,40,6,True
2025-04-06 02:50:00,0,6,2,50,6,True
2025-04-06 03:20:00,0,2,3,20,6,True
2025-04-06 03:30:00,0,3,3,30,6,True
2025-04-06 03:40:00,0,4,3,40,6,True
2025-04-06 03:50:00,0,5,3,50,6,True
2025-04-06 04:00:00,0,6,4,0,6,True
2025-04-06 04:30:00,0,2,4,30,6,True
2025-04-06 04:40:00,0,3,4,40,6,True
2025-04-06 04:50:00,0,4,4,50,6,True
2025-04-06 05:00:00,0,5,5,0,6,True
2025-04-06 05:10:00,0,6,5,10,6,True
2025-04-06 05:40:00,0,2,5,40,6,True
2025-04-06 05:50:00,0,3,5,50,6,True
2025-04-06 06:00:00,0,4,6,0,6,True
2025-04-06 06:10:00,0,5,6,10,6,True
2025-04-06 06:20:00,0,6,6,20,6,True
2025-04-06 06:50:00,0,2,6,50,6,True
2025-04-06 07:00:00,0,3,7,0,6,True
2025-04-06 07:10:00,0,4,7,10,6,True
2025-04-06 07:20:00,0,5,7,20,6,True
2025-04-06 07:30:00,0,6,7,30,6,True
2025-04-06 08:00:00,0,2,8,0,6,True
2025-04-06 08:10:00,0,3,8,10,6,True
2025-04-06 08:20:00,0,4,8,20,6,True
2025-04-06 08:30:00,0,5,8,30,6,True
2025-04-06 08:40:00,0,6,8,40,6,True
2025-04-06 09:10:00,0,2,9,10,6,True
2025-04-06 09:20:00,0,3,9,20,6,True
2025-04-06 09:30:00,0,4,9,30,6,True
2025-04-06 09:40:00,0,5,9,40,6,True
2025-04-06 09:50:00,0,6,9,50,6,True
2025-04-06 10:20:00,0,2,10,20,6,True
2025-04-06 10:30:00,0,3,10,30,6,True
2025-04-06 10:40:00,0,4,10,40,6,True
2025-04-06 10:50:00,0,5,10,50,6,True
2025-04-06 11:00:00,0,6,11,0,6,True
2025-04-06 11:30:00,0,2,11,30,6,True
2025-04-06 11:40:00,0,3,11,40,6,True
2025-04-06 11:50:00,0,4,11,50,6,True
2025-04-06 12:00:00,0,5,12,0,6,True
2025-04-06 12:10:00,0,6,12,10,6,True
2025-04-06 12:40:00,0,2,12,40,6,True
2025-04-06 12:50:00,0,3,12,50,6,True
2025-04-06 13:00:00,0,4,13,0,6,True
2025-04-06 13:10:00,0,5,13,10,6,True
2025-04-06 13:20:00,0,6,13,20,6,True
2025-04-06 13:50:00,0,2,13,50,6,True
2025-04-06 14:00:00,0,3,14,0,6,True
2025-04-06 14:10:00,53,4,14,10,6,True
2025-04-06 14:20:00,6,5,14,20,6,True
2025-04-06 14:30:00,10,6,14,30,6,True
2025-04-06 15:00:00,0,2,15,0,6,True
2025-04-06 15:10:00,0,3,15,10,6,True
2025-04-06 15:20:00,0,4,15,20,6,True
2025-04-06 15:30:00,0,5,15,30,6,True
2025-04-06 15:40:00,0,6,15,40,6,True
2025-04-06 16:10:00,0,2,16,10,6,True
2025-04-06 16:20:00,2,3,16,20,6,True
2025-04-06 16:30:00,0,4,16,30,6,True
2025-04-06 16:40:00,0,5,16,40,6,True
2025-04-06 16:50:00,0,6,16,50,6,True
2025-04-06 17:20:00,0,2,17,20,6,True
2025-04-06 17:30:00,0,3,17,30,6,True
2025-04-06 17:40:00,0,4,17,40,6,True
2025-04-06 17:50:00,0,5,17,50,6,True
2025-04-06 18:00:00,6,6,18,0,6,True
2025-04-06 18:30:00,0,2,18,30,6,True
2025-04-06 18:40:00,3,3,18,40,6,True
2025-04-06 18:50:00,0,4,18,50,6,True
2025-04-06 19:00:00,0,5,19,0,6,True
2025-04-06 19:10:00,0,6,19,10,6,True
2025-04-06 19:40:00,0,2,19,40,6,True
2025-04-06 19:50:00,0,3,19,50,6,True
2025-04-06 20:00:00,0,4,20,0,6,True
2025-04-06 20:10:00,0,5,20,10,6,True
2025-04-06 20:20:00,0,6,20,20,6,True
2025-04-06 20:50:00,0,2,20,50,6,True
2025-04-06 21:00:00,0,3,21,0,6,True
2025-04-06 21:10:00,0,4,21,10,6,True
2025-04-06 21:20:00,0,5,21,20,6,True
2025-04-06 21:30:00,0,6,21,30,6,True
2025-04-06 22:00:00,0,2,22,0,6,True
2025-04-06 22:10:00,0,3,22,10,6,True
2025-04-06 22:20:00,0,4,22,20,6,True
2025-04-06 22:30:00,0,5,22,30,6,True
2025-04-06 22:40:00,0,6,22,40,6,True
2025-04-06 23:10:00,0,2,23,10,6,True
2025-04-06 23:20:00,0,3,23,20,6,True
2025-04-06 23:30:00,0,4,23,30,6,True
2025-04-06 23:40:00,0,5,23,40,6,True
2025-04-06 23:50:00,0,6,23,50,6,True
2025-04-07 00:20:00,0,2,0,20,0,False
2025-04-07 00:30:00,0,3,0,30,0,False
2025-04-07 00:40:00,0,4,0,40,0,False
2025-04-07 00:50:00,0,5,0,50,0,False
2025-04-07 01:00:00,0,6,1,0,0,False
2025-04-07 01:30:00,0,2,1,30,0,False
2025-04-07 01:40:00,0,3,1,40,0,False
2025-04-07 01:50:00,0,4,1,50,0,False
2025-04-07 02:00:00,0,5,2,0,0,False
2025-04-07 02:10:00,0,6,2,10,0,False
2025-04-07 02:40:00,0,2,2,40,0,False
2025-04-07 02:50:00,0,3,2,50,0,False
2025-04-07 03:00:00,0,4,3,0,0,False
2025-04-07 03:10:00,0,5,3,10,0,False
2025-04-07 03:20:00,0,6,3,20,0,False
2025-04-07 03:50:00,0,2,3,50,0,False
2025-04-07 04:00:00,0,3,4,0,0,False
2025-04-07 04:10:00,0,4,4,10,0,False
2025-04-07 04:20:00,0,5,4,20,0,False
2025-04-07 04:30:00,0,6,4,30,0,False
2025-04-07 05:00:00,0,2,5,0,0,False
2025-04-07 05:10:00,0,3,5,10,0,False
2025-04-07 05:20:00,0,4,5,20,0,False
2025-04-07 05:30:00,0,5,5,30,0,False
2025-04-07 05:40:00,0,6,5,40,0,False
2025-04-07 06:10:00,0,2,6,10,0,False
2025-04-07 06:20:00,0,3,6,20,0,False
2025-04-07 06:30:00,0,4,6,30,0,False
2025-04-07 06:40:00,0,5,6,40,0,False
2025-04-07 06:50:00,0,6,6,50,0,False
2025-04-07 07:20:00,0,2,7,20,0,False
2025-04-07 07:30:00,0,3,7,30,0,False
2025-04-07 07:40:00,56,4,7,40,0,False
2025-04-07 07:50:00,316,5,7,50,0,False
2025-04-07 08:00:00,0,6,8,0,0,False
2025-04-07 08:30:00,0,2,8,30,0,False
2025-04-07 08:40:00,0,3,8,40,0,False
2025-04-07 08:50:00,0,4,8,50,0,False
2025-04-07 09:00:00,0,5,9,0,0,False
2025-04-07 09:10:00,0,6,9,10,0,False
2025-04-07 09:40:00,0,2,9,40,0,False
2025-04-07 09:50:00,0,3,9,50,0,False
2025-04-07 10:00:00,0,4,10,0,0,False
2025-04-07 10:10:00,0,5,10,10,0,False
2025-04-07 10:20:00,0,6,10,20,0,False
2025-04-07 10:50:00,0,2,10,50,0,False
2025-04-07 11:00:00,0,3,11,0,0,False
2025-04-07 11:10:00,0,4,11,10,0,False
2025-04-07 11:20:00,0,5,11,20,0,False
2025-04-07 11:30:00,0,6,11,30,0,False
2025-04-07 12:00:00,1,2,12,0,0,False
2025-04-07 12:10:00,1,3,12,10,0,False
2025-04-07 12:20:00,3,4,12,20,0,False
2025-04-07 12:30:00,7,5,12,30,0,False
2025-04-07 12:40:00,2,6,12,40,0,False
2025-04-07 13:10:00,3,2,13,10,0,False
2025-04-07 13:20:00,5,3,13,20,0,False
2025-04-07 13:30:00,1,4,13,30,0,False
2025-04-07 13:40:00,4,5,13,40,0,False
2025-04-07 13:50:00,0,6,13,50,0,False
2025-04-07 14:20:00,0,2,14,20,0,False
2025-04-07 14:30:00,14,3,14,30,0,False
2025-04-07 14:40:00,330,4,14,40,0,False
2025-04-07 14:50:00,338,5,14,50,0,False
2025-04-07 15:00:00,102,6,15,0,0,False
2025-04-07 15:30:00,1,2,15,30,0,False
2025-04-07 15:40:00,0,3,15,40,0,False
2025-04-07 15:50:00,0,4,15,50,0,False
2025-04-07 16:00:00,5,5,16,0,0,False
2025-04-07 16:10:00,0,6,16,10,0,False
2025-04-07 16:40:00,8,2,16,40,0,False
2025-04-07 16:50:00,13,3,16,50,0,False
2025-04-07 17:00:00,19,4,17,0,0,False
2025-04-07 17:10:00,0,5,17,10,0,False
2025-04-07 17:20:00,2,6,17,20,0,False
2025-04-07 17:50:00,5,2,17,50,0,False
2025-04-07 18:00:00,5,3,18,0,0,False
2025-04-07 18:10:00,1,4,18,10,0,False
2025-04-07 18:20:00,0,5,18,20,0,False
2025-04-07 18:30:00,1,6,18,30,0,False
2025-04-07 19:00:00,2,2,19,0,0,False
2025-04-07 19:10:00,0,3,19,10,0,False
2025-04-07 19:20:00,0,4,19,20,0,False
2025-04-07 19:30:00,0,5,19,30,0,False
2025-04-07 19:40:00,3,6,19,40,0,False
2025-04-07 20:10:00,1,2,20,10,0,False
2025-04-07 20:20:00,0,3,20,20,0,False
2025-04-07 20:30:00,8,4,20,30,0,False
2025-04-07 20:40:00,1,5,20,40,0,False
2025-04-07 20:50:00,0,6,20,50,0,False
2025-04-07 21:20:00,54,2,21,20,0,False
2025-04-07 21:30:00,257,3,21,30,0,False
2025-04-07 21:40:00,7,4,21,40,0,False
2025-04-07 21:50:00,0,5,21,50,0,False
2025-04-07 22:00:00,67,6,22,0,0,False
2025-04-07 22:30:00,1,2,22,30,0,False
2025-04-07 22:40:00,5,3,22,40,0,False
2025-04-07 22:50:00,0,4,22,50,0,False
2025-04-07 23:00:00,0,5,23,0,0,False
2025-04-07 23:10:00,1,6,23,10,0,False
2025-04-07 23:40:00,0,2,23,40,0,False
2025-04-07 23:50:00,1,3,23,50,0,False
2025-04-08 00:00:00,0,4,0,0,1,False
2025-04-08 00:10:00,0,5,0,10,1,False
2025-04-08 00:20:00,0,6,0,20,1,False
2025-04-08 00:50:00,0,2,0,50,1,False
2025-04-08 01:00:00,0,3,1,0,1,False
2025-04-08 01:10:00,0,4,1,10,1,False
2025-04-08 01:20:00,0,5,1,20,1,False
2025-04-08 01:30:00,0,6,1,30,1,False
2025-04-08 02:00:00,0,2,2,0,1,False
2025-04-08 02:10:00,0,3,2,10,1,False
2025-04-08 02:20:00,0,4,2,20,1,False
2025-04-08 02:30:00,1,5,2,30,1,False
2025-04-08 02:40:00,0,6,2,40,1,False
2025-04-08 03:10:00,0,2,3,10,1,False
2025-04-08 03:20:00,0,3,3,20,1,False
2025-04-08 03:30:00,0,4,3,30,1,False
2025-04-08 03:40:00,1,5,3,40,1,False
2025-04-08 03:50:00,0,6,3,50,1,False
2025-04-08 04:20:00,1,2,4,20,1,False
2025-04-08 04:30:00,0,3,4,30,1,False
2025-04-08 04:40:00,0,4,4,40,1,False
2025-04-08 04:50:00,0,5,4,50,1,False
2025-04-08 05:00:00,0,6,5,0,1,False
2025-04-08 05:30:00,0,2,5,30,1,False
2025-04-08 05:40:00,0,3,5,40,1,False
2025-04-08 05:50:00,1,4,5,50,1,False
2025-04-08 06:00:00,0,5,6,0,1,False
2025-04-08 06:10:00,0,6,6,10,1,False
2025-04-08 06:40:00,0,2,6,40,1,False
2025-04-08 06:50:00,0,3,6,50,1,False
2025-04-08 07:00:00,0,4,7,0,1,False
2025-04-08 07:10:00,0,5,7,10,1,False
2025-04-08 07:20:00,0,6,7,20,1,False
2025-04-08 07:50:00,3,2,7,50,1,False
2025-04-08 08:00:00,0,3,8,0,1,False
2025-04-08 08:10:00,0,4,8,10,1,False
2025-04-08 08:20:00,0,5,8,20,1,False
2025-04-08 08:30:00,1,6,8,30,1,False
2025-04-08 09:00:00,0,2,9,0,1,False
2025-04-08 09:10:00,6,3,9,10,1,False
2025-04-08 09:20:00,0,4,9,20,1,False
2025-04-08 09:30:00,2,5,9,30,1,False
2025-04-08 09:40:00,18,6,9,40,1,False
2025-04-08 10:10:00,60,2,10,10,1,False
2025-04-08 10:20:00,1,3,10,20,1,False
2025-04-08 10:30:00,0,4,10,30,1,False
2025-04-08 10:40:00,0,5,10,40,1,False
2025-04-08 10:50:00,1,6,10,50,1,False
2025-04-08 11:20:00,2,2,11,20,1,False
2025-04-08 11:30:00,3,3,11,30,1,False
2025-04-08 11:40:00,55,4,11,40,1,False
2025-04-08 11:50:00,24,5,11,50,1,False
2025-04-08 12:00:00,2,6,12,0,1,False
2025-04-08 12:30:00,4,2,12,30,1,False
2025-04-08 12:40:00,3,3,12,40,1,False
2025-04-08 12:50:00,2,4,12,50,1,False
2025-04-08 13:00:00,45,5,13,0,1,False
2025-04-08 13:10:00,0,6,13,10,1,False
2025-04-08 13:40:00,4,2,13,40,1,False
2025-04-08 13:50:00,51,3,13,50,1,False
2025-04-08 14:00:00,7,4,14,0,1,False
2025-04-08 14:10:00,42,5,14,10,1,False
